edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
5e22d8b507f3028d2a0053ed,org.apache.commons.math3.analysis.UnivariateFunction,org.apache.commons.math3.analysis.solvers.BrentSolver,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
183b8c7c636683581e271b3a,org.apache.commons.math3.analysis.UnivariateFunction,org.apache.commons.math3.linear.RealVector,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
91fd0c829aa502972e957c4e,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.UnivariateFunction,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
446258ba45f6761c50815868,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.UnivariateFunction,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
aefaccd2b426345ba61890d0,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,CREATES,0,2,bytecode_allocation_verified,unvalidated,Commons Math 3.6.1 differentiate(UnivariateFunction) allocates an anonymous UnivariateDifferentiableFunction wrapper. The factory creates the wrapper; it is not itself the wrapper.
d0b06a8114eebd63ccb66c78,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
77a1965e09072428da24c1d6,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,org.apache.commons.math3.analysis.differentiation.UnivariateFunctionDifferentiator,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
dc32fd2a56d9e3c57985db0e,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,org.apache.commons.math3.analysis.UnivariateFunction,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f73e931acc994fa18d1eba52,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
5dce7ebfe743d8b63481ec1e,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
9e8adbdc05195d059792c461,org.apache.commons.math3.analysis.differentiation.UnivariateFunctionDifferentiator,org.apache.commons.math3.analysis.UnivariateFunction,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
5b06ba04a79f7fe6187f0468,org.apache.commons.math3.analysis.differentiation.UnivariateFunctionDifferentiator,org.apache.commons.math3.analysis.differentiation.UnivariateDifferentiableFunction,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
7b7c45e796c221c64c07f6ab,org.apache.commons.math3.analysis.integration.UnivariateIntegrator,org.apache.commons.math3.analysis.UnivariateFunction,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ba58ed6e9cb97734edb80425,org.apache.commons.math3.analysis.integration.UnivariateIntegrator,org.apache.commons.math3.analysis.UnivariateFunction,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
f8a404514921ef172497781b,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,org.apache.commons.math3.analysis.BivariateFunction,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
