edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
bfe73e5f2a834ab4c7a05dbd,android.app.Service,android.content.Intent,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0ba9ef6626a437f4bd7db952,android.content.ClipData,android.content.ClipData.Item,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
55834bb297296c113b7ebe10,android.content.ClipData,android.content.ClipData.Item,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
292e5a864a7afdb955009e03,android.content.ClipData,android.content.ClipData.Item,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
fb5e668b2b11d3604e175a6b,android.content.ClipData,android.content.ClipDescription,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
b8f623501ee1fc0dda2289c1,android.content.ClipData,android.content.ClipDescription,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
f73d370d0714ae1ea21cd871,android.content.ClipData,android.content.ClipDescription,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3adb00e51c068d2fcbaea8d5,android.content.ClipData,android.content.ClipboardManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
a0441ab7e55805f3ab96d0d3,android.content.ClipData,android.content.ContentResolver,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
8928ecb571c1d98392906972,android.content.ClipData,android.content.ContentResolver,REQUIRES,0,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
47ebed931a499458efa7fc24,android.content.ClipData,android.content.Intent,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
9e205eaa1a47b799a358a9fd,android.content.ClipData,android.net.Uri,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
c2481c2387f9ca876245de64,android.content.ClipData,java.lang.CharSequence,ACCEPTS,0,6,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
05dc366c53e55596f3b6c45e,android.content.ClipData.Item,android.content.ClipData,NESTED_IN,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
256c4532796c8b0ea732e803,android.content.ClipData.Item,android.content.ClipboardManager,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
c8e46983338279f927a3f3fb,android.content.ClipData.Item,android.content.Context,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
96837e03eedd933cfee230cd,android.content.ClipData.Item,android.content.Intent,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
25a3204ff40cac93ecbb3266,android.content.ClipData.Item,android.content.Intent,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
834719b4920db094719c03ed,android.content.ClipData.Item,android.net.Uri,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a25e7ab7a0752285820707fd,android.content.ClipData.Item,android.net.Uri,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
6ea0332b0814ca9489804ad6,android.content.ClipData.Item,android.net.Uri,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
