edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
bfe73e5f2a834ab4c7a05dbd,method,public abstract android.os.IBinder onBind(android.content.Intent);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
bfe73e5f2a834ab4c7a05dbd,method,public boolean onUnbind(android.content.Intent);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
bfe73e5f2a834ab4c7a05dbd,method,"public int onStartCommand(android.content.Intent, int, int);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
bfe73e5f2a834ab4c7a05dbd,method,public void onRebind(android.content.Intent);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
bfe73e5f2a834ab4c7a05dbd,method,"public void onStart(android.content.Intent, int);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
bfe73e5f2a834ab4c7a05dbd,method,public void onTaskRemoved(android.content.Intent);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/ec0133e240b0d7b4e41b.txt,,,
0ba9ef6626a437f4bd7db952,constructor,"public android.content.ClipData(android.content.ClipDescription, android.content.ClipData$Item);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
0ba9ef6626a437f4bd7db952,constructor,"public android.content.ClipData(java.lang.CharSequence, java.lang.String[], android.content.ClipData$Item);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
0ba9ef6626a437f4bd7db952,method,public void addItem(android.content.ClipData$Item);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
292e5a864a7afdb955009e03,method,public android.content.ClipData$Item getItemAt(int);,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
fb5e668b2b11d3604e175a6b,constructor,"public android.content.ClipData(android.content.ClipDescription, android.content.ClipData$Item);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
f73d370d0714ae1ea21cd871,method,public android.content.ClipDescription getDescription();,binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
a0441ab7e55805f3ab96d0d3,method,"public static android.content.ClipData newUri(android.content.ContentResolver, java.lang.CharSequence, android.net.Uri);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
47ebed931a499458efa7fc24,method,"public static android.content.ClipData newIntent(java.lang.CharSequence, android.content.Intent);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
9e205eaa1a47b799a358a9fd,method,"public static android.content.ClipData newRawUri(java.lang.CharSequence, android.net.Uri);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
9e205eaa1a47b799a358a9fd,method,"public static android.content.ClipData newUri(android.content.ContentResolver, java.lang.CharSequence, android.net.Uri);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
c2481c2387f9ca876245de64,constructor,"public android.content.ClipData(java.lang.CharSequence, java.lang.String[], android.content.ClipData$Item);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
c2481c2387f9ca876245de64,method,"public static android.content.ClipData newHtmlText(java.lang.CharSequence, java.lang.CharSequence, java.lang.String);",binary_declaration,tmp\authoritative_artifacts\android\android-4.1.1.4.jar,declarations/5cc66ad6e7ec7086bee9.txt,,,
