edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
0677160d666471e74a4169e8,java.io.File,java.io.Serializable,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
1b61f26c2a644d290684e604,java.io.File,java.lang.Object,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
192e7f8b57f28b164577dc8d,java.io.File,java.lang.String,ACCEPTS,0,5,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a303a4e597845fb6ebcb62c7,java.io.File,java.lang.String,RETURNS,0,8,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
66d7c313ae57f9eca057da8c,java.lang.ClassCastException,java.lang.String,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
a001ee08c9443bd2aff1b474,java.lang.Integer,java.lang.Object,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ab868cc5f5ba4be5ed57b085,java.lang.Integer,java.lang.String,ACCEPTS,0,11,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
884dd92e69594e1e6f5958d8,java.lang.Integer,java.lang.String,RETURNS,0,8,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
322c33315c177992bcdf5e67,java.lang.Object,java.lang.String,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
8e85222b62c01c595d254d69,java.lang.String,java.io.Serializable,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0623b495d64df13cd166c044,java.lang.String,java.lang.Object,ACCEPTS,0,5,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
748e7b0aefea3626b6768e4a,java.lang.UnsupportedOperationException,java.lang.String,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
7c43133b17ef0675cd190530,java.math.BigInteger,java.lang.Object,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
ae84c09c33154d882b175b4d,java.math.BigInteger,java.lang.String,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
50b244808030a69db7e759a1,java.math.BigInteger,java.lang.String,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
dc41adc814e7701795a19f12,java.math.BigInteger,java.util.Random,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
f4e71c90e9c5ba7dbf4bc823,java.util.AbstractCollection,java.lang.Object,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
2d17aba78e4ba6c45f2b5c4a,java.util.AbstractCollection,java.lang.Object,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0f944fd2d5c9ae9af941a695,java.util.AbstractCollection,java.lang.String,RETURNS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
6b3df442fcd1c6e9abf542c4,java.util.AbstractCollection,java.util.Collection,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
313b594efc8660f30094d740,java.util.AbstractCollection,java.util.Collection,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
0846aef69b1efa33f32c625d,java.util.AbstractList,java.lang.Object,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
cb40ad6ebe2a92fa2db752d0,java.util.AbstractList,java.util.AbstractCollection,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
7c869e3fe8b1b8e5d74ad2ff,java.util.AbstractList,java.util.Collection,ACCEPTS,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
