edge_id,source,target,relation,symmetric,support_count,fact_status,retrieval_status,scope_policy
3949cdc20615ccbb0223c88b,android.animation.Animator,android.animation.Animator.AnimatorListener,ACCEPTS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
40a913a0bca7facb666b5206,android.animation.Animator.AnimatorListener,android.animation.Animator,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
9290f41e99a23b612f2c744e,android.animation.Animator.AnimatorListener,android.animation.Animator,NESTED_IN,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
06f9b6d3ac7319400454183e,android.animation.AnimatorListenerAdapter,android.animation.Animator,ACCEPTS,0,4,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
2384e2488cec956d1863363a,android.animation.AnimatorListenerAdapter,android.animation.Animator.AnimatorListener,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
1c3d9ed05bce7ce6133d9e18,android.animation.AnimatorListenerAdapter,android.animation.ObjectAnimator,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
5898c73024b54758cc1f4c14,android.animation.AnimatorListenerAdapter,android.animation.ValueAnimator,COLLABORATES_WITH,1,2,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
64ac56a504b0ef48982d45d7,android.animation.AnimatorListenerAdapter,android.view.View,COLLABORATES_WITH,1,1,model_reviewed_not_human_verified,unvalidated,Apply only within at least one cited operation/condition; not a universal relation.
34614d01d1bf2047c8dc6bfe,android.animation.AnimatorSet,android.animation.Animator,ACCEPTS,0,3,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
3ce5517f52a533b7db8023a2,android.animation.AnimatorSet,android.animation.Animator,RETURNS,0,2,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
92f3daf20e0517feb8756ceb,android.animation.AnimatorSet,android.animation.Animator,SUBTYPE_OF,0,1,binary_declaration,unvalidated,Read supporting declarations; no functional equivalence implied.
