edge_id,scope,quote,origin,locator,evidence_file,extraction_call,review_call,role_audit_call
fb8dd8b1456dd1304daa7828,method,public abstract java.util.Iterator<T> iterator();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/61c8ef67997c76271566.txt,,,
f847e89fa83eaeed7c928cb4,method,public java.lang.String toString();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/a6b9e0505186124241c7.txt,,,
7b4767a3059e07ca2bdba065,type,"class java.lang.String implements java.io.Serializable, java.lang.Comparable<java.lang.String>, java.lang.CharSequence {",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
fe6bd71b61d342c6fad4ce78,method,"public static java.lang.String join(java.lang.CharSequence, java.lang.Iterable<? extends java.lang.CharSequence>);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
c721f8248977817fe2ab851d,method,public boolean equals(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
c721f8248977817fe2ab851d,method,public int compareTo(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
c721f8248977817fe2ab851d,method,"public static java.lang.String format(java.lang.String, java.lang.Object...);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
c721f8248977817fe2ab851d,method,"public static java.lang.String format(java.util.Locale, java.lang.String, java.lang.Object...);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
c721f8248977817fe2ab851d,method,public static java.lang.String valueOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/73cc7ce309d9be85f1d2.txt,,,
f119fb52f346b8373598ff43,method,public boolean contains(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f119fb52f346b8373598ff43,method,public boolean remove(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f119fb52f346b8373598ff43,method,public int indexOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f119fb52f346b8373598ff43,method,public int lastIndexOf(java.lang.Object);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
b108eff30f7d2f87245f3e87,method,public java.lang.Object clone();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
b108eff30f7d2f87245f3e87,method,public java.lang.Object[] toArray();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f10d7f8a63c9283f26d118b5,method,"public boolean addAll(int, java.util.Collection<? extends E>);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f10d7f8a63c9283f26d118b5,method,public boolean addAll(java.util.Collection<? extends E>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f10d7f8a63c9283f26d118b5,method,public boolean removeAll(java.util.Collection<?>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f10d7f8a63c9283f26d118b5,method,public boolean retainAll(java.util.Collection<?>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
f10d7f8a63c9283f26d118b5,constructor,public java.util.ArrayList(java.util.Collection<? extends E>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
bd154e858befa046292cd6cd,method,public void sort(java.util.Comparator<? super E>);,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
7b93aeb4a74080d909ed4f94,method,public java.util.Iterator<E> iterator();,binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
733d647a492a773b809816e5,method,"public java.util.List<E> subList(int, int);",binary_declaration,tmp\authoritative_artifacts\jdk8\extracted\jdk8u504-b01\jre\lib\rt.jar,declarations/5098f415c102d794fe43.txt,,,
